              disk0       cpu
    KB/t  tps  MB/s  us sy id
   17.33  258  4.36  14  7 79
   13.51  103  1.36  12  5 83
    9.09  106  0.94  11  5 84
    5.29  574  2.97  12  4 83
   12.06   70  0.82  13  4 83
   14.23   77  1.07  15  7 78
   14.02  105  1.43  11  5 84
   19.51 1911 36.41  12  8 81
   13.68  375  5.01   9  6 85
    9.69  330  3.12  10  7 83
    9.14   21  0.19   9  4 87
   24.51 1875 44.88  12  6 82
   10.78 6615 69.66  14  8 78
   21.80 5834 124.19  15  6 79
   20.07 3963 77.68  18  8 74
   19.36 1048 19.82  20  7 73
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   23.15 1403 31.72  15  4 81
   24.85 1048 25.44  16  5 79
   18.56  338  6.12  19  4 77
   33.50   64  2.09  19  6 75
   22.79   53  1.18  29  4 68
    9.52   29  0.27  20  3 77
   10.21  695  6.93  20  3 77
   15.05  105  1.54  16  2 82
    7.89   38  0.29  19  3 79
   10.37   27  0.27  18  4 78
    9.25   16  0.14  18  2 80
   32.00    3  0.09  19  3 78
   11.41   75  0.83  19  2 79
   16.36   67  1.07  18  3 79
   10.61   23  0.24  18  2 80
   10.25   16  0.16  19  3 78
   12.16   50  0.59  18  3 79
    7.78   18  0.14  17  2 81
    9.86   43  0.41  29  8 63
    6.71  253  1.66  20  5 75
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.75   16  0.12  18  3 79
    9.36  940  8.59  21  5 74
   11.83   23  0.26  17  2 80
   15.64   66  1.00  17  3 80
    7.11  103  0.71  18  3 79
   12.91   35  0.44  19  2 79
    6.53   30  0.19  18  2 80
    6.97  173  1.18  17  2 81
   10.33   43  0.43  20  4 77
